game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
400548092,2014,1,Central Michigan,Chattanooga,consensus,-11.5,,,Central Michigan -11.5
400547839,2014,1,Kansas State,Stephen F. Austin,consensus,-43.0,,,Kansas State -43
400548257,2014,1,Oregon,South Dakota,consensus,-51.0,,,Oregon -51
400548401,2014,1,Missouri,South Dakota State,consensus,-14.0,,,Missouri -14
400547751,2014,1,Duke,Elon,consensus,-38.0,,,Duke -38
400548090,2014,1,Akron,Howard,consensus,-21.0,,,Akron -21
400547904,2014,1,Illinois,Youngstown State,consensus,-9.0,,,Illinois -9
400547916,2014,1,Indiana,Indiana State,consensus,-27.0,,,Indiana -27
400547928,2014,1,Iowa,Northern Iowa,consensus,-19.0,,,Iowa -19
400548091,2014,1,Northern Illinois,Presbyterian,consensus,-38.0,,,Northern Illinois -38
400547795,2014,1,North Carolina,Liberty,consensus,-26.0,,,North Carolina -26
400548255,2014,1,Arizona State,Weber State,consensus,-45.5,,,Arizona State -45.5
400548256,2014,1,Utah,Idaho State,consensus,-41.0,,,Utah -41
400548404,2014,1,New Mexico State,Cal Poly,consensus,7.0,,,Cal Poly -7
400548259,2014,1,Stanford,UC Davis,consensus,-47.0,,,Stanford -47
400548007,2014,1,Old Dominion,Hampton,consensus,-22.0,,,Old Dominion -22
400547825,2014,1,Virginia Tech,William & Mary,consensus,-23.0,,,Virginia Tech -23
400547772,2014,1,Georgia Tech,Wofford,consensus,-28.0,,,Georgia Tech -28
400548400,2014,1,Kentucky,UT Martin,consensus,-20.0,,,Kentucky -20
400548179,2014,1,Wyoming,Montana,consensus,-3.5,,,Wyoming -3.5
400548258,2014,1,Oregon State,Portland State,consensus,-35.0,,,Oregon State -35
400548095,2014,1,Eastern Michigan,Morgan State,consensus,-20.0,,,Eastern Michigan -20
400550418,2014,5,Georgia Southern,App State,teamrankings,-17.0,60.5,,Georgia Southern -17
400550418,2014,5,Georgia Southern,App State,consensus,-17.0,,,Georgia Southern -17
400548036,2014,5,Old Dominion,Middle Tennessee,teamrankings,-1.0,69.0,,Old Dominion -1
400548200,2014,5,New Mexico,Fresno State,teamrankings,6.0,66.0,,Fresno State -6
400548200,2014,5,New Mexico,Fresno State,numberfire,6.0,66.5,,Fresno State -6
400548200,2014,5,New Mexico,Fresno State,consensus,3.0,,,Fresno State -3
400547764,2014,5,NC State,Florida State,teamrankings,16.5,61.0,,Florida State -16.5
400547764,2014,5,NC State,Florida State,numberfire,17.0,60.5,,Florida State -17
400547764,2014,5,NC State,Florida State,consensus,23.0,,,Florida State -23
400548035,2014,5,Auburn,Louisiana Tech,teamrankings,-32.5,61.0,,Auburn -32.5
400548035,2014,5,Auburn,Louisiana Tech,numberfire,-32.5,63.5,,Auburn -32.5
400548035,2014,5,Auburn,Louisiana Tech,consensus,-33.0,,,Auburn -33
400548382,2014,5,Texas A&M,Arkansas,teamrankings,-9.5,73.0,,Texas A&M -9.5
400548382,2014,5,Texas A&M,Arkansas,numberfire,-8.5,73.5,,Texas A&M -8.5
400548382,2014,5,Texas A&M,Arkansas,consensus,-12.5,,,Texas A&M -12.5
400547860,2014,5,Iowa State,Baylor,teamrankings,21.0,72.5,,Baylor -21
400547860,2014,5,Iowa State,Baylor,numberfire,21.0,72.0,,Baylor -21
400547860,2014,5,Iowa State,Baylor,consensus,22.0,,,Baylor -22
