year,school,talent
2015,,981.9
2015,,926.71
2015,,907.32
2015,,889.92
2015,,889.37
2015,,877.74
2015,,865.41
2015,,857.33
2015,,851.12
2015,,830.34
2015,,821.26
2015,,810.53
2015,,807.56
2015,,793.22
2015,,789.79
2015,,775.9
2015,,773.23
2015,,765.98
2015,,764.34
2015,,757.52
2015,,732.36
2015,,725.72
2015,,715.3
2015,,699.89
2015,,695.04
2015,,683.03
2015,,680.87
2015,,680.06
2015,,667.45
2015,,667.05
2015,,660.35
2015,,658.38
2015,,651.83
2015,,642.93
2015,,641.07
2015,,641.05
2015,,635.77
2015,,634.52
2015,,630.38
2015,,626.0
2015,,625.85
2015,,611.18
2015,,610.33
2015,,609.76
2015,,606.92
2015,,603.76
2015,,602.35
2015,,595.75
2015,,590.34
2015,,574.41
2015,,573.06
2015,,568.96
2015,,563.19
2015,,559.08
2015,,544.66
2015,,542.06
2015,,540.86
2015,,534.6
2015,,534.26
2015,,530.96
2015,,529.65
2015,,529.12
2015,,521.43
2015,,516.1
2015,,511.45
2015,,508.8
2015,,503.64
2015,,499.97
2015,,497.48
2015,,494.77
2015,,494.65
2015,,489.77
2015,,484.54
2015,,470.84
2015,,446.83
2015,,442.13
2015,,437.99
2015,,433.59
2015,,430.17
2015,,429.03
2015,,412.65
2015,,409.82
2015,,408.22
2015,,408.08
2015,,405.92
2015,,404.03
2015,,403.62
2015,,402.58
2015,,402.23
2015,,401.61
2015,,399.58
2015,,397.13
2015,,391.18
2015,,389.1
2015,,385.63
2015,,381.8
2015,,380.69
2015,,380.69
2015,,380.53
2015,,379.6
2015,,376.81
2015,,367.16
2015,,360.49
2015,,360.11
2015,,356.37
2015,,353.5
2015,,349.94
2015,,341.72
2015,,341.36
2015,,338.4
2015,,335.67
2015,,335.43
2015,,332.69
2015,,331.44
2015,,330.61
2015,,323.73
2015,,319.6
2015,,316.44
2015,,314.72
2015,,312.88
2015,,306.87
2015,,304.05
2015,,292.73
2015,,262.39
2015,,256.12
2015,,251.16
2015,,236.34
2015,,202.77
2015,,186.45
2015,,181.76
2015,,173.32
2015,,137.06
2015,,123.61
2015,,116.79
2015,,116.09
2015,,105.01
2015,,103.72
2015,,97.73
2015,,95.68
2015,,92.42
2015,,89.72
2015,,84.74
2015,,82.26
2015,,78.26
2015,,74.6
2015,,74.37
2015,,74.05
2015,,73.07
2015,,70.95
2015,,68.35
2015,,66.43
2015,,64.46
2015,,64.14
2015,,62.12
2015,,61.96
2015,,61.89
2015,,60.76
2015,,58.39
2015,,58.08
2015,,57.42
2015,,56.37
2015,,51.28
2015,,51.19
2015,,50.43
2015,,48.43
2015,,47.12
2015,,46.56
2015,,46.5
2015,,46.34
2015,,45.1
2015,,43.1
2015,,41.62
2015,,41.5
2015,,39.71
2015,,37.48
2015,,37.46
2015,,37.17
2015,,36.99
2015,,36.98
2015,,36.95
2015,,35.29
2015,,35.02
2015,,32.59
2015,,31.74
2015,,31.43
2015,,31.21
2015,,30.49
2015,,29.79
2015,,29.11
2015,,28.02
2015,,25.63
2015,,25.26
2015,,25.25
2015,,24.84
2015,,24.71
2015,,24.46
2015,,23.49
2015,,21.69
2015,,21.24
2015,,21.17
2015,,20.76
2015,,20.07
2015,,19.8
2015,,19.57
2015,,19.48
2015,,18.58
2015,,16.92
2015,,15.77
2015,,15.67
2015,,15.65
2015,,15.6
2015,,15.59
2015,,14.26
2015,,13.33
2015,,11.86
2015,,9.96
2015,,8.58
2015,,7.93
2015,,7.45
2015,,7.43
2015,,7.24
2015,,6.66
2015,,6.66
2015,,6.66
2015,,6.66
2015,,6.66
2015,,3.36
2015,,3.06
2015,,2.96
2015,,2.63
2015,,2.22
2015,,1.74
2016,,982.66
2016,,936.86
2016,,917.72
2016,,906.64
2016,,902.46
2016,,872.0
2016,,865.36
2016,,852.78
2016,,846.0
2016,,842.35
2016,,838.97
2016,,819.16
2016,,814.63
2016,,813.92
2016,,808.15
2016,,798.44
2016,,778.45
2016,,777.48
2016,,745.93
2016,,742.52
2016,,738.29
2016,,719.7
2016,,706.9
2016,,699.64
2016,,694.21
2016,,691.61
2016,,689.41
2016,,679.14
2016,,669.61
2016,,665.53
2016,,654.64
2016,,654.13
2016,,652.07
2016,,651.99
2016,,649.85
2016,,646.82
2016,,643.76
2016,,633.76
2016,,631.68
2016,,619.18
2016,,619.03
2016,,618.91
2016,,616.31
2016,,616.29
2016,,613.55
2016,,604.93
2016,,601.17
2016,,599.82
2016,,585.47
2016,,582.55
2016,,580.07
2016,,572.7
2016,,565.47
2016,,563.99
2016,,558.73
2016,,552.17
2016,,548.82
2016,,541.58
2016,,535.44
2016,,533.39
2016,,529.05
2016,,526.39
2016,,524.89
2016,,523.91
2016,,522.58
2016,,520.26
2016,,517.63
2016,,512.72
2016,,510.27
2016,,505.29
2016,,492.72
2016,,491.0
2016,,485.46
2016,,482.31
2016,,474.03
2016,,471.45
2016,,460.86
2016,,451.38
2016,,451.24
2016,,443.73
2016,,443.16
2016,,442.26
2016,,441.29
2016,,437.36
2016,,436.6
2016,,435.33
2016,,423.56
2016,,421.37
2016,,418.04
2016,,412.28
2016,,409.17
2016,,408.4
2016,,404.97
2016,,403.27
2016,,401.82
2016,,397.64
2016,,394.83
2016,,392.66
2016,,391.81
2016,,390.47
2016,,389.56
2016,,389.36
2016,,388.04
2016,,387.26
2016,,384.97
2016,,376.26
2016,,372.56
2016,,370.9
2016,,365.94
2016,,362.84
2016,,357.13
2016,,351.76
2016,,351.58
2016,,347.7
2016,,347.2
2016,,343.64
2016,,342.77
2016,,334.01
2016,,333.36
2016,,330.55
2016,,322.82
2016,,321.79
2016,,316.18
2016,,290.4
2016,,267.66
2016,,256.78
2016,,254.26
2016,,184.88
2016,,165.17
2016,,164.16
2016,,154.68
2016,,131.74
2016,,130.84
2016,,128.58
2016,,123.69
2016,,121.61
2016,,119.2
2016,,119.04
2016,,118.43
2016,,118.15
2016,,116.15
2016,,107.98
2016,,104.38
2016,,102.21
