venue_id,venue_name,city,state,capacity,elevation,latitude,longitude
5938,Al Whitehead Field at Greyhound Stadium,Portales,NM,4000.0,,34.1861922,-103.334397
218,FIU Stadium,Miami,FL,20000.0,1.718581796,25.7525014,-80.3778912
4779,Thomas A. Robinson National Stadium,Nassau,,15000.0,3.182889223,25.055569,-77.358736
11591,Lokken Stadium,Valley City,ND,,,,
5220,Garrison Stadium,Murfreesboro,TN,5000.0,18.69116974,36.434053,-77.098431
3884,RAM Stadium,East Point,GA,,,,
11589,Hinchliffe Stadium,Paterson,NJ,,,,
6043,Bethpage Federal Credit Union Stadium,Brookville,NY,6000.0,236,40.816284,-73.589546
11539,Charlotte & Gordon Hansen Stadium,Jamestown,ND,,,,
5096,Toyota Stadium,Georgetown,KY,5000.0,270.7148743,38.204444,-84.545556
3926,Setzler Field,Newberry,SC,4000.0,160.5950775,34.286133,-81.622539
5015,Turner Stadium,Upland,IN,4400.0,282.0275574,40.456862,-85.501228
5083,New Turner Stadium,Upland,IN,4400.0,282.0274963,40.456848,-85.501181
5348,Mercedes-Benz Stadium,Atlanta,GA,75000.0,307.9,33.755578,-84.400881
3689,Cramton Bowl,Montgomery,AL,25000.0,75.10210419,32.37949,-86.293002
538,StubHub Center,Carson,CA,27000.0,,33.8322043,-118.2517547
4258,Dignity Health Sports Park,Carson,CA,48114.0,39,33.864,-118.261
4205,Petco Park,San Diego,CA,0.0,,32.7174202,-117.1627728
3504,Aviva Stadium,Dublin,,51700.0,2.264276505,53.33523,-6.228447
3603,Aggie Stadium,Greensboro,NC,21500.0,235.1224518,36.0814337,-79.7700391
3717,Edwin Fauver Stadium,Rochester,NY,5111.0,,43.157285,-77.615214
5810,Coyer Field,Buffalo,NY,3000.0,,42.8867166,-78.8783922
7065,SoFi Stadium,Inglewood,CA,71500.0,,33.9562003,-118.353132
7003,Houck Field,Cape Girardeau,MO,10000.0,,37.3034933,-89.5230357
6048,Duane Stadium,North Andover,MA,3500.0,,42.6839894,-71.1127065
3718,Tom Benson Hall of Fame Stadium,Canton,OH,23000.0,,40.7985464,-81.3749508
5116,O'Shaughnessy Stadium,Saint Paul,MN,5025.0,,44.9497487,-93.0931028
3927,Sherman Field,Houghton,MI,4684.0,,46.8591287,-88.7774734
3827,"Memorial Stadium (Stephenville, TX)",Stephenville,TX,12000.0,,32.2191836,-98.2130634
6274,Audi Field,Washington,DC,20000.0,,38.8950368,-77.0365427
4762,Memorial Stadium (Commerce TX),Commerce,TX,11582.0,,33.2442615,-95.9006353
6075,W.B. Mason Stadium,North Easton,MA,2400.0,,42.0667665,-71.1036592
6269,Globe Life Field,Arlington,TX,40000.0,,32.7355816,-97.1071186
